time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:09.15,36882583.0,-1.08,-1.29,-0.37,13.93,0.0,12.0
2012-01-04 01:00:09.2,36882584.0,-1.15,-1.32,-0.39,13.93,0.0,12.0
2012-01-04 01:00:09.25,36882585.0,-1.12,-1.38,-0.34,13.76,0.0,12.0
2012-01-04 01:00:09.3,36882586.0,-1.12,-1.44,-0.29,13.81,0.0,12.0
2012-01-04 01:00:09.35,36882587.0,-1.03,-1.45,-0.22,13.86,0.0,12.0
2012-01-04 01:00:09.4,36882588.0,-1.03,-1.41,-0.21,13.85,0.0,12.0
2012-01-04 01:00:09.45,36882589.0,-1.03,-1.41,-0.21,13.85,0.0,12.0
2012-01-04 01:00:09.5,36882590.0,-1.07,-1.36,-0.24,13.9,0.0,12.0
2012-01-04 01:00:09.55,36882591.0,-1.02,-1.4,-0.28,13.81,0.0,12.0
2012-01-04 01:00:09.6,36882592.0,-1.09,-1.32,-0.22,13.88,0.0,12.0
2012-01-04 01:00:09.65,36882593.0,-1.03,-1.29,-0.15,13.9,0.0,12.0
2012-01-04 01:00:09.7,36882594.0,-1.03,-1.29,-0.15,13.9,0.0,12.0
2012-01-04 01:00:09.75,36882595.0,-1.05,-1.29,-0.19,13.98,0.0,12.0
2012-01-04 01:00:09.8,36882596.0,-1.07,-1.28,-0.24,13.96,0.0,12.0
2012-01-04 01:00:09.85,36882597.0,-1.03,-1.32,-0.27,13.93,0.0,12.0
2012-01-04 01:00:09.9,36882598.0,-1.03,-1.32,-0.27,13.88,0.0,12.0
2012-01-04 01:00:09.95,36882599.0,-0.92,-1.27,-0.23,13.9,0.0,12.0
2012-01-04 01:00:10,36882600.0,-0.91,-1.25,-0.31,13.81,0.0,12.0
2012-01-04 01:00:10.05,36882601.0,-1.03,-1.16,-0.41,13.74,0.0,12.0
2012-01-04 01:00:10.1,36882602.0,-1.15,-1.08,-0.28,13.71,0.0,12.0
2012-01-04 01:00:10.15,36882603.0,-1.19,-0.98,-0.3,13.69,0.0,12.0
2012-01-04 01:00:10.2,36882604.0,-1.12,-1.05,-0.13,13.71,0.0,12.0
2012-01-04 01:00:10.25,36882605.0,-1.07,-1.19,-0.18,13.66,0.0,12.0
2012-01-04 01:00:10.3,36882606.0,-1.12,-1.12,-0.13,13.66,0.0,12.0
2012-01-04 01:00:10.35,36882607.0,-1.14,-1.03,-0.22,13.66,0.0,12.0
2012-01-04 01:00:10.4,36882608.0,-1.17,-1.03,-0.32,13.61,0.0,12.0
2012-01-04 01:00:10.45,36882609.0,-1.28,-1.02,-0.22,13.61,0.0,12.0
2012-01-04 01:00:10.5,36882610.0,-1.11,-1.04,-0.3,13.58,0.0,12.0
