"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 12:27:26.5",37704258.00,1.40,-2.53,0.02,28.50,0.00,14.90
"2012-01-04 12:27:26.55",37704259.00,1.32,-2.66,0.15,28.45,0.00,14.90
"2012-01-04 12:27:26.6",37704260.00,1.06,-2.85,0.14,28.47,0.00,14.90
"2012-01-04 12:27:26.65",37704261.00,1.07,-2.80,-0.23,28.68,0.00,14.90
"2012-01-04 12:27:26.7",37704262.00,1.01,-2.68,0.14,28.68,0.00,14.90
"2012-01-04 12:27:26.75",37704263.00,0.87,-2.61,-0.25,28.76,0.00,14.90
"2012-01-04 12:27:26.8",37704264.00,1.08,-2.71,-0.09,28.73,0.00,14.90
"2012-01-04 12:27:26.85",37704265.00,1.38,-2.50,-0.03,28.73,0.00,14.90
"2012-01-04 12:27:26.9",37704266.00,1.49,-2.34,-0.18,28.48,0.00,14.90
"2012-01-04 12:27:26.95",37704267.00,1.37,-2.19,-0.08,28.55,0.00,14.90
"2012-01-04 12:27:27",37704268.00,1.26,-2.15,0.26,28.54,0.00,14.90
"2012-01-04 12:27:27.05",37704269.00,1.46,-2.53,0.25,28.59,0.00,14.90
"2012-01-04 12:27:27.1",37704270.00,1.36,-2.53,-0.15,28.48,0.00,14.90
"2012-01-04 12:27:27.15",37704271.00,1.28,-3.32,-0.64,28.46,0.00,14.90
"2012-01-04 12:27:27.2",37704272.00,2.11,-2.96,-0.49,28.32,0.00,14.90
"2012-01-04 12:27:27.25",37704273.00,1.83,-3.86,-1.29,28.37,0.00,14.90
"2012-01-04 12:27:27.3",37704274.00,1.53,-4.11,-0.96,28.71,0.00,14.90
"2012-01-04 12:27:27.35",37704275.00,1.92,-4.86,-0.41,29.13,0.00,14.90
"2012-01-04 12:27:27.4",37704276.00,1.94,-4.55,0.32,29.45,0.00,14.90
"2012-01-04 12:27:27.45",37704277.00,1.90,-4.64,0.51,29.94,0.00,14.90
"2012-01-04 12:27:27.5",37704278.00,1.62,-4.64,0.36,29.47,0.00,14.90
"2012-01-04 12:27:27.55",37704279.00,1.46,-3.56,0.00,28.49,0.00,14.90
"2012-01-04 12:27:27.6",37704280.00,1.54,-3.59,-0.76,28.18,0.00,14.90
"2012-01-04 12:27:27.65",37704281.00,2.25,-3.20,-1.26,28.11,0.00,14.90
"2012-01-04 12:27:27.7",37704282.00,1.83,-3.37,-0.51,28.06,0.00,14.90
"2012-01-04 12:27:27.75",37704283.00,1.40,-3.52,-0.48,28.03,0.00,14.90
"2012-01-04 12:27:27.8",37704284.00,0.45,-4.07,-0.22,28.07,0.00,14.90
"2012-01-04 12:27:27.85",37704285.00,0.81,-3.97,-0.08,28.12,0.00,14.90
